Type,SourceIP,SourceMAC,DestinationIP,DestinationMAC,Protocol,MAC,IP,Function,predictions
IP_FUNCTION,172.16.106.31,ac:64:17:35:60:50,172.16.106.11,28:63:36:9a:90:b3,S7,,172.16.106.11,PLUS_DATA_FW1_5,0
IP_FUNCTION,172.16.106.31,ac:64:17:35:60:50,172.16.106.11,28:63:36:9a:90:b3,S7,,172.16.106.11,PLUS_CREATEOBJECT,0
IP_FUNCTION,172.16.106.31,ac:64:17:35:60:50,172.16.106.11,28:63:36:9a:90:b3,S7,,172.16.106.11,PLUS_REQUEST,0
IP_FUNCTION,172.16.106.31,ac:64:17:35:60:50,172.16.106.11,28:63:36:9a:90:b3,S7,,172.16.106.11,PLUS_CONNECT,0
IP_FUNCTION,172.16.106.31,ac:64:17:35:60:50,172.16.106.11,28:63:36:9a:90:b3,S7,,172.16.106.11,PLUS_RESPONSE,0
IP_FUNCTION,172.16.106.31,ac:64:17:35:60:50,172.16.106.11,28:63:36:9a:90:b3,S7,,172.16.106.31,PLUS_CREATEOBJECT,0
IP_FUNCTION,172.16.106.31,ac:64:17:35:60:50,172.16.106.11,28:63:36:9a:90:b3,S7,,172.16.106.31,PLUS_CONNECT,0
IP_FUNCTION,172.16.106.31,ac:64:17:35:60:50,172.16.106.11,28:63:36:9a:90:b3,S7,,172.16.106.31,PLUS_REQUEST,0
IP_FUNCTION,172.16.106.31,ac:64:17:35:60:50,172.16.106.11,28:63:36:9a:90:b3,S7,,172.16.106.31,PLUS_RESPONSE,0
IP_FUNCTION,172.16.106.31,ac:64:17:35:60:50,172.16.106.11,28:63:36:9a:90:b3,S7,,172.16.106.31,PLUS_DATA,0
IP_FUNCTION,172.16.106.31,ac:64:17:35:60:50,172.16.106.11,28:63:36:9a:90:b3,S7,,172.16.106.31,PLUS_DATA_FW1_5,0
IP_FUNCTION,172.16.106.31,ac:64:17:35:60:50,172.16.106.11,28:63:36:9a:90:b3,S7,,172.16.106.31,PLUS_SETMULTIVAR,0
IP_IP_FUNCTION,172.16.106.31,ac:64:17:35:60:50,172.16.106.11,28:63:36:9a:90:b3,S7,,,PLUS_DATA,0
IP_IP_FUNCTION,172.16.106.31,ac:64:17:35:60:50,172.16.106.11,28:63:36:9a:90:b3,S7,,,PLUS_CONNECT,0
IP_IP_FUNCTION,172.16.106.31,ac:64:17:35:60:50,172.16.106.11,28:63:36:9a:90:b3,S7,,,PLUS_DATA_FW1_5,0
IP_IP_FUNCTION,172.16.106.31,ac:64:17:35:60:50,172.16.106.11,28:63:36:9a:90:b3,S7,,,PLUS_REQUEST,0
